"Yes, Cancel sale","Si, cancelar venta"
"Yes, Close","Si, cerrar"
About,Acerca de
Account,"Cuenta"
Account Head,Cuenta padre
Accounts Manager,Gestor de cuentas
Accounts User,Usuario de cuentas
Action,Acción
Actions,Acciones
add,agregar
Add New Address,Agregar Nueva Dirección
Add/Edit Coupon Conditions,Agregar/Editar Condiciones de Cupón
Additional Discount,Descuento Adicional
Additional Notes,Notas Adicionales
Address Line 1,
Address not found,Dirección no encontrada
Administrator,Administrador
All Caught Up!,Todas las actualizaciones completadas
All Synced,Sincronización completada
Allow Create Sales Order,Permitir Crear Orden de Venta
Allow Credit Sale,Permitir Venta a Crédito
Allow Delete Offline Invoice,Permitir Eliminar Factura Sin Conexión
Allow Partial Payment,Permitir Pago Parcial
Allow Price List Rate Change,
Allow Return,Permitir Devolución
Allow Submissions in background job,Permitir Envío en segundo plano
Allow user to edit Additional Discount,Permitir Editar Descuento Adicional
Allow User to Edit Item Discount,Permitir Editar Descuento
Allow user to edit Rate,Permitir Editar Tarifa
Always fetch items from server,Siempre cargar artículos desde el servidor
Always fetch items from server (ignore local cache),Siempre cargar artículos desde el servidor (ignorar caché local)
Amended From,Modificado desde
Amount,Valor
App information,Información de la aplicación
Applied,Aplicadas
Apply,Aplicar
Apply Customer Discount,Aplicar descuento del cliente
Apply For,AplicarPpara
Apply On,Aplicar En
Apply Rule On Brand,Aplicar Regla en Marca
Apply Rule On Item Code,Aplicar Regla en Código de Artículo
Apply Rule On Item Group,Aplicar Regla en Grupo
Apply Type,Aplicar Tipo
Apps,Apps
Are you sure you want to close? All entered data will be lost.,¿Estás seguro de querer cerrar? Todos los datos ingresados se perderán.
Auto Apply,Auto aplicar
Auto Delete Draft Invoice,Auto eliminar factura borrador
Auto Set Batch,Auto asignar lote
Available,Disponible
Available QTY,Cantidad Disponible
Awesome,Awesome
Back,Volver
Balance will be updated when connection is restored,El saldo se actualizará cuando se restablezca la conexión
Basic Information,Información básica
Batch Information,Información de lote
Batch No,Número de Lote 
Batch No Available QTY,Cantidad Disponible del Lote
Batch No Expiry Date,Fecha de Vencimiento del Lote
Brand,Marca
Breakdown,Desglose
Built with Frappe,Desarrollado con Frappe
Cache cleared successfully,Caché eliminada correctamente
Cache Usage,Uso de caché
Calculating,Calculando
Camera access aborted.,Acceso a la cámara abortado.
Camera access is required to scan barcodes.,Acceso a la cámara es requerido para escanear códigos de barras.
Camera Access Required,Se requiere acceso a la cámara
